scraped_name,name,website,industry,squareLogo,overallRating,cultureAndValuesRating,seniorLeadershipRating,compensationAndBenefitsRating,careerOpportunitiesRating,workLifeBalanceRating
"abm industries, inc.",ABM Industries,www.abm.com,Building & Personnel Services,https://media.glassdoor.com/sqll/32/abm-industries-squarelogo.png,2.9,2.7,2.5,2.8,2.7,3.1
abnb federal credit union,ABNB Federal Credit Union,www.abnbfcu.org,Banks & Credit Unions,https://media.glassdoor.com/sqll/224306/abnb-federal-credit-union-squarelogo-1426080034638.png,3.3,3.7,3.2,3.0,2.8,3.4
acac,Atlantic Coast Athletic Clubs,www.acac.com,Education Training Services,https://media.glassdoor.com/sqll/293189/atlantic-coast-athletic-clubs-squarelogo-1431938761853.png,3.9,4.1,3.4,3.1,3.4,3.6
academi,Academi,www.academi.com,Advertising & Marketing,https://media.glassdoor.com/sqll/42985/academi-squarelogo.png,3.1,2.9,2.5,3.4,2.7,2.7
accenture,Accenture,www.accenture.com,,https://media.glassdoor.com/sqll/4138/accenture-squarelogo-1480353968717.png,3.7,3.7,3.2,3.4,3.6,3.2
acclaim technical services,Acclaim Technical Services,www.acclaimtechnical.com,Accounting,https://media.glassdoor.com/sqll/198662/acclaim-technical-serivces-squarelogo-1429615768785.png,4.4,4.4,4.4,4.0,3.2,4.2
acco brands,ACCO Brands,www.accobrands.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/13939/acco-brands-squarelogo.png,3.5,3.3,2.9,3.6,3.2,3.5
acco brands corporation,ACCO Brands,www.accobrands.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/13939/acco-brands-squarelogo.png,3.5,3.3,2.9,3.6,3.2,3.5
account development,American Express,www.americanexpress.com,Financial Transaction Processing,https://media.glassdoor.com/sqll/35/american-express-squarelogo.png,3.7,3.8,3.2,3.6,3.3,3.8
account representatives.account representatives,Sprint,www.sprint.com,Telecommunications Services,https://media.glassdoor.com/sqll/13345/sprint-squarelogo-1446646390465.png,3.3,3.1,2.8,3.5,2.9,3.2
accounting principals,Accounting Principals,www.accountingprincipals.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/30524/accounting-principals-squarelogo-1459344167682.png,3.7,3.3,3.1,3.2,3.1,3.4
"accounting, business administration",Disan American Transportation,www.disanamerican.com,,,1.0,1.0,1.0,1.0,1.0,1.0
accuforce staffing service,AccuForce,www.accuforce.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/391620/accuforce-squarelogo-1421954315072.png,3.4,3.9,3.6,3.7,3.7,3.7
ace info solutions,Ace Info Solutions,www.aceinfosolutions.com,IT Services,https://media.glassdoor.com/sqll/266422/ace-info-solutions-squarelogo-1412955155812.png,3.8,3.9,3.8,3.8,3.7,4.1
"ace info solutions, inc",Ace Info Solutions,www.aceinfosolutions.com,IT Services,https://media.glassdoor.com/sqll/266422/ace-info-solutions-squarelogo-1412955155812.png,3.8,3.9,3.8,3.8,3.7,4.1
"ace info solutions, inc.",Ace Info Solutions,www.aceinfosolutions.com,IT Services,https://media.glassdoor.com/sqll/266422/ace-info-solutions-squarelogo-1412955155812.png,3.8,3.9,3.8,3.8,3.7,4.1
"aceinfo solutions, inc.",Ace Info Solutions,www.aceinfosolutions.com,IT Services,https://media.glassdoor.com/sqll/266422/ace-info-solutions-squarelogo-1412955155812.png,3.8,3.9,3.8,3.8,3.7,4.1
"acentia, llc",Acentia,www.acentia.com,IT Services,https://media.glassdoor.com/sqll/506232/acentia-squarelogo.png,2.7,2.7,2.3,3.0,2.4,2.9
acf environmental,ACF Environmental,www.acfenvironmental.com,Construction,,2.6,5.0,2.6,2.8,3.1,3.1
acosta sales & marketing,Acosta,www.acosta.com,Advertising & Marketing,https://media.glassdoor.com/sqll/17488/acosta-squarelogo.png,2.9,2.8,2.6,2.4,2.4,3.4
"acrt, inc",ACRT,www.acrtinc.com,Food Production,https://media.glassdoor.com/sqll/292653/acrt-squarelogo-1390426048519.png,3.4,3.3,3.1,2.7,3.0,3.4
"acrt, inc.",ACRT,www.acrtinc.com,Food Production,https://media.glassdoor.com/sqll/292653/acrt-squarelogo-1390426048519.png,3.4,3.3,3.1,2.7,3.0,3.4
acti-kare,Acti-Kare,www.actikare.com,,,2.0,0.0,0.0,0.0,0.0,0.0
action executive services,Action,www.action.nl,,,0,0.0,0.0,0.0,0.0,0.0
action personnel inc,Elizabeth Arden,www.elizabetharden.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/5707/elizabeth-arden-squarelogo.png,3.0,2.9,2.7,3.2,2.9,3.0
acton mobile,Acton Mobile Industries,www.actonmobile.com,Commercial Equipment Rental,https://media.glassdoor.com/sqll/498525/acton-mobile-industries-squarelogo-1474289585868.png,3.7,4.0,3.5,4.1,3.4,3.8
acuity brands,Acuity Brands,www.acuitybrands.com,Electrical & Electronic Manufacturing,https://media.glassdoor.com/sqll/13436/acuity-brands-squarelogo.png,3.2,2.9,2.7,3.3,3.1,2.8
"acumen solutions, inc.",Acumen Solutions,www.acumensolutions.com,Consulting,https://media.glassdoor.com/sqll/30356/acumen-solutions-squarelogo.png,4.1,4.0,3.8,3.5,3.9,3.9
"adaequare, inc.",Adaequare,www.adaequare.com,IT Services,https://media.glassdoor.com/sqll/264794/adaequare-squarelogo.png,3.2,2.9,3.0,3.0,3.1,3.1
"adams & garth, inc.",Adams & Garth Staffing,www.adamsandgarth.com,Advertising & Marketing,https://media.glassdoor.com/sqll/711818/adams-and-garth-staffing-squarelogo-1451468965757.png,3.2,3.2,2.8,2.5,2.8,2.9
adams and garth,Adams & Garth Staffing,www.adamsandgarth.com,Advertising & Marketing,https://media.glassdoor.com/sqll/711818/adams-and-garth-staffing-squarelogo-1451468965757.png,3.2,3.2,2.8,2.5,2.8,2.9
adams communication & engineering technology,Adams Communications & Engineering Technology,www.adamscomm.com,IT Services,https://media.glassdoor.com/sqll/625761/adams-communications-and-engineering-technology-squarelogo-1423732731885.png,3.0,3.2,3.0,3.2,2.9,3.1
adams construction co,Delbert Adams Construction Group,www.dacgllc.com,Construction,,0,0.0,0.0,0.0,0.0,0.0
adecco,Adecco,www.adecco.co.uk,Staffing & Outsourcing,https://media.glassdoor.com/sqll/1089/adecco-squarelogo-1475077479987.png,3.3,3.0,2.8,2.7,2.9,3.1
adecco group,Adecco Group,www.adecco.com,,,3.0,3.0,2.0,2.0,2.0,3.0
adecco usa,Adecco USA,www.adeccousa.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/404578/adecco-usa-squarelogo-1470054621701.png,3.1,2.8,2.7,2.7,2.9,3.1
"aderas, inc.",Aderas,www.aderas.com,,https://media.glassdoor.com/sqll/442782/aderas-squarelogo.png,3.4,2.9,2.6,4.2,1.9,3.9
"adidas america, inc.",adidas Group,www.adidas-group.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/10692/adidas-group-squarelogo-1432027025784.png,3.9,4.1,3.4,3.6,3.4,3.9
administaff,Insperity,www.insperity.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/3608/insperity-squarelogo.png,3.6,3.8,3.3,3.5,3.2,3.8
administrative medical office-medical office experience,Experience,www.experience.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/11713/experience-squarelogo-1426835471355.png,3.1,3.0,2.5,3.1,2.8,3.7
administrative resource options,Administrative Resource Options,www.aroptions.com,Business Service Centers & Copy Shops,https://media.glassdoor.com/sqll/822947/administrative-resource-options-squarelogo-1463589470674.png,3.8,3.9,3.8,3.3,3.4,4.1
admiral security services,Admiral Security,www.admiralsecurity.com,Advertising & Marketing,https://media.glassdoor.com/sqll/471509/admiral-security-squarelogo-1424091208785.png,3.0,2.8,2.5,2.8,2.9,2.9
"adnet systems, inc",Adnet Systems,www.adnet-sys.com,IT Services,https://media.glassdoor.com/sqll/257052/adnet-systems-squarelogo-1424686648313.png,3.8,2.9,3.5,3.6,2.9,3.8
"adobe systems, inc.",Adobe,www.adobe.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/1090/adobe-squarelogo-1439410514152.png,4.1,4.2,3.6,4.1,3.7,4.1
adp,ADP,jobs.adp.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/64/adp-squarelogo-1443119350589.png,3.5,3.5,3.1,3.6,3.4,3.4
ads inc.,ADS,www.adsinc.com,Aerospace & Defense,https://media.glassdoor.com/sqll/476062/ads-squarelogo.png,3.9,4.2,3.5,4.1,3.3,4.1
"adtek engineers, inc.",ADTEK Engineers,www.adtekengineers.com,Architectural & Engineering Services,,0,0.0,0.0,0.0,0.0,0.0
advance america,Advance America,www.advanceamerica.net,Lending,https://media.glassdoor.com/sqll/20104/advance-america-squarelogo-1400621575791.png,2.6,2.6,2.2,2.6,2.5,2.5
advance auto,Advance Auto Parts,www.advanceautoparts.jobs,"Department, Clothing, & Shoe Stores",https://media.glassdoor.com/sqll/8708/advance-auto-parts-squarelogo.png,2.9,2.8,2.4,2.6,2.8,2.7
advance auto parts,Advance Auto Parts,www.advanceautoparts.jobs,"Department, Clothing, & Shoe Stores",https://media.glassdoor.com/sqll/8708/advance-auto-parts-squarelogo.png,2.9,2.8,2.4,2.6,2.8,2.7
advance health,Advance Health,www.advancehlth.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/472458/advance-health-squarelogo-1397862011518.png,3.7,3.8,3.6,3.6,3.2,3.5
"advanced computer concepts, inc.",Advanced Computer Concepts,www.acconline.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/262560/advanced-computer-concepts-squarelogo-1463569978868.png,0,0.0,0.0,0.0,0.0,0.0
advanced concepts and technologies international,ADVANCED CONCEPTS AND TECHNOLOGIES INTERNATIONAL,www.act-i.com,,,4.0,0.0,0.0,5.0,0.0,4.0
advanced drainage systems,Advanced Drainage Systems,www.ads-pipe.com,Industrial Manufacturing,https://media.glassdoor.com/sqll/25602/advanced-drainage-systems-squarelogo.png,3.0,3.0,2.5,3.3,3.0,2.7
"advanced information systems group, inc.",Advanced Ground Information Systems,www.agisinc.com,Aerospace & Defense,,5.0,5.0,5.0,5.0,5.0,5.0
"advanced resource technologies, inc.",ARTI,www.team-arti.com,IT Services,https://media.glassdoor.com/sqll/463483/arti-squarelogo-1428472094324.png,3.2,2.9,3.1,3.3,2.7,3.8
advanced software systems inc,Assyst,www.assyst.net,Computer Hardware & Software,https://media.glassdoor.com/sqll/328706/assyst-squarelogo-1423827168530.png,3.4,3.1,3.2,2.7,3.3,3.4
"advanced systems development, inc.",Advanced Systems Development,www.asd-inc.com,Computer Hardware & Software,https://media.glassdoor.com/sqll/200520/advanced-systems-development-squarelogo-1426071757862.png,3.7,3.8,3.4,3.5,3.3,3.4
advantage resourcing,Advantage Resourcing,www.advantageresourcing.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/596486/advantage-resourcing-squarelogo-1478560945785.png,3.2,2.7,2.6,3.0,2.9,3.4
advantage sales llc,Advantage Solutions,www.advantagesolutions.net,Staffing & Outsourcing,https://media.glassdoor.com/sqll/9287/advantage-sales-and-marketing-squarelogo-1448989887571.png,3.0,2.8,2.7,2.5,2.6,3.2
advantage sci,Advantage SCI,www.advantagesci.com,Federal Agencies,https://media.glassdoor.com/sqll/259114/advantage-sci-squarelogo-1451307029486.png,4.0,3.4,4.0,3.9,2.9,4.1
advantage solutions,Advantage Solutions,www.advantagesolutions.net,Staffing & Outsourcing,https://media.glassdoor.com/sqll/9287/advantage-sales-and-marketing-squarelogo-1448989887571.png,3.0,2.8,2.7,2.5,2.6,3.2
advent global solutions inc.,Advent Global Solutions,www.adventglobal.com,IT Services,https://media.glassdoor.com/sqll/226873/advent-global-solutions-squarelogo.png,2.3,2.1,1.8,2.1,2.2,2.7
advex corporation,Advex,www.advex.net,Metal & Mineral Manufacturing,,1.9,1.0,3.0,2.0,2.0,3.0
aecom,AECOM,www.aecom.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/5632/aecom-squarelogo-1445888767096.png,3.4,3.3,3.0,3.2,3.4,3.4
aeec llc,AEEC,www.americanconsultants.com,Consulting,https://media.glassdoor.com/sqll/247416/aeec-squarelogo-1449050394399.png,2.7,2.4,2.8,3.2,2.3,3.0
"aeec, llc",AEEC,www.americanconsultants.com,Consulting,https://media.glassdoor.com/sqll/247416/aeec-squarelogo-1449050394399.png,2.7,2.4,2.8,3.2,2.3,3.0
aegion corporation,Aegion,www.aegion.com,Construction,https://media.glassdoor.com/sqll/538680/aegion-squarelogo-1429607771723.png,3.4,2.9,3.0,3.3,3.1,3.3
aegis llc,Aegis Defense Services,www.aegisworld.us,Security Services,https://media.glassdoor.com/sqll/664799/aegis-defense-services-squarelogo-1378758915255.png,2.7,2.6,2.4,3.4,2.5,2.8
aegis weapon system,Aegis,www.aegisglobal.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/610014/aegis-squarelogo.png,2.9,2.7,2.5,2.2,2.6,2.4
aerojet rocketdyne,Aerojet Rocketdyne,www.rocket.com,Aerospace & Defense,https://media.glassdoor.com/sqll/8468/aerojet-rocketdyne-squarelogo-1377118144637.png,2.7,2.6,2.0,3.0,2.5,3.3
aerosoles,Aerosoles,www.aerosoles.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/686390/aerosoles-squarelogo-1413934199179.png,2.8,2.9,2.3,2.6,2.3,3.3
aerotek,Aerotek,www.aerotek.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/18267/aerotek-squarelogo-1457357917586.png,3.3,3.3,3.0,3.0,3.4,2.9
aes,AES,,,,2.8,3.6,2.8,4.4,3.0,3.1
"aes services, inc.",A&E Factory Services,www.aefactoryservice.com,Consumer Products Manufacturing,https://media.glassdoor.com/sqll/384064/a-and-e-factory-services-squarelogo-1446818860958.png,2.5,2.6,2.3,2.9,2.1,2.1
afl telecommunications llc,AFL,www.aflglobal.com,"Cable, Internet & Telephone Providers",https://media.glassdoor.com/sqll/144020/afl-squarelogo-1423752576244.png,3.7,3.7,3.3,3.3,3.2,3.4
ageiss inc,AGEISS,www.ageiss.com,Consulting,https://media.glassdoor.com/sqll/666075/ageiss-squarelogo-1432096452405.png,4.5,4.5,4.1,3.7,3.9,4.9
agfa healthcare,Agfa Healthcare,www.agfa.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/139919/agfa-healthcare-squarelogo.png,2.6,2.7,2.2,2.6,2.4,3.1
aggregate industries,Aggregate Industries UK,www.aggregate.com,Mining,https://media.glassdoor.com/sqll/7174/aggregate-industries-squarelogo-1468571722326.png,3.6,3.6,3.1,3.5,3.8,3.3
aggregate industries us,Aggregate Industries US,www.aggregate-us.com,Mining,https://media.glassdoor.com/sqll/17527/aggregate-industries-management-squarelogo-1446814226149.png,4.1,5.0,5.0,5.0,4.5,5.0
aggreko,Aggreko,www.aggreko.com,Commercial Equipment Rental,https://media.glassdoor.com/sqll/8550/aggreko-squarelogo-1389110455192.png,3.2,2.9,2.4,3.4,2.9,2.6
agile,Agile,www.gotoagile.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/636779/agile-squarelogo.png,3.9,3.9,4.1,4.1,3.9,3.9
agile defense,Agile Defense,www.agile-defense.com,Advertising & Marketing,https://media.glassdoor.com/sqll/526295/agile-defense-squarelogo-1461921339687.png,3.0,3.4,3.3,3.7,3.0,3.8
"agilent technologies, inc.",Agilent Technologies,www.agilent.com/go/careers,Biotech & Pharmaceuticals,https://media.glassdoor.com/sqll/9711/agilent-technologies-squarelogo.png,3.7,3.8,3.1,3.3,3.1,4.0
agl resources,AGL Resources,www.southerncompanygas.com,Utilities,https://media.glassdoor.com/sqll/62/agl-resources-squarelogo-1462546977701.png,3.5,3.5,3.2,3.5,3.2,3.3
agrium inc,Agrium,www.agrium.com,Chemical Manufacturing,https://media.glassdoor.com/sqll/5717/agrium-squarelogo-1423745331056.png,2.6,2.7,2.1,3.5,2.4,3.2
ahaa,American Hearing Aid Associates,www.ahaanet.com,Membership Organizations,https://media.glassdoor.com/sqll/403870/american-hearing-aid-associates-squarelogo-1428332301291.png,2.4,2.2,2.4,3.3,2.0,2.2
"ahern rentals, inc.",Ahern Rentals,www.ahern.com,Industrial Manufacturing,https://media.glassdoor.com/sqll/271197/ahern-rentals-squarelogo.png,2.0,1.8,1.9,2.1,1.9,2.2
"ai engineers, inc.",AI Engineers,www.aiengineers.com,Architectural & Engineering Services,https://media.glassdoor.com/sqll/270820/ai-engineers-squarelogo-1441953646141.png,3.5,3.0,2.5,3.0,3.5,3.5
aiaa,American Institute of Aeronautics and Astronautics,www.aiaa.org,Membership Organizations,https://media.glassdoor.com/sqll/438520/american-institute-of-aeronautics-and-astronautics-squarelogo-1430144149763.png,3.5,3.4,3.0,3.4,2.6,4.4
aid & assist,Brookdale Senior Living,www.brookdaleliving.com,Health Care Services & Hospitals,https://media.glassdoor.com/sqll/6433/brookdale-senior-living-squarelogo.png,2.7,2.7,2.3,2.5,2.8,2.6
aig,AIG,www.aig.com,Insurance Carriers,https://media.glassdoor.com/sqll/40/aig-squarelogo-1479312472259.png,3.0,2.8,2.5,3.3,2.8,3.3
air contact transport,Air Contact Transport,www.actovernight.com,Express Delivery Services,https://media.glassdoor.com/sqll/654552/air-contact-transport-squarelogo-1430141543114.png,2.0,2.0,1.7,2.0,1.8,2.0
air corporation,JetBlue,www.jetblue.com,Transportation Management,https://media.glassdoor.com/sqll/11385/jetblue-squarelogo.png,3.9,4.2,3.5,3.6,3.7,3.7
air force materiel command,Air Force Materiel Command,www.afmc.af.mil,Research & Development,https://media.glassdoor.com/sqll/869529/air-force-materiel-command-squarelogo-1464002500376.png,3.7,2.7,3.1,4.4,4.0,4.4
air force personnel center,Air Force Personnel Center,www.afpc.af.mil,Federal Agencies,,3.0,4.0,3.0,4.0,3.0,2.0
air liquide usa llc,Air Liquide (USA),www.airliquide.com,Chemical Manufacturing,https://media.glassdoor.com/sqll/15075/air-liquide-usa-squarelogo-1465609082468.png,3.2,3.0,2.7,3.3,3.0,3.0
air serv corporation,Air Serv,www.airservcorp.com,Transportation Management,https://media.glassdoor.com/sqll/38853/air-serv-squarelogo-1389120670184.png,2.6,2.2,2.2,1.9,2.4,2.2
air treatment company llc,Air Treatment,www.airtreatment.com,Wholesale,,4.0,4.0,4.0,4.0,1.0,4.0
air wisconsin airlines,Air Wisconsin Airlines,www.airwis.com,Airlines,https://media.glassdoor.com/sqll/13687/air-wisconsin-airlines-squarelogo-1384779768818.png,3.0,3.0,2.6,2.9,2.7,2.9
air wisconsin airlines corporation,Air Wisconsin Airlines,www.airwis.com,Airlines,https://media.glassdoor.com/sqll/13687/air-wisconsin-airlines-squarelogo-1384779768818.png,3.0,3.0,2.6,2.9,2.7,2.9
"aircraft service international, inc",Aircraft Service International,www.asig.com,Transportation Management,https://media.glassdoor.com/sqll/17533/aircraft-service-international-squarelogo.png,2.6,2.4,2.1,2.1,2.4,2.4
airgas,Airgas,www.airgas.com,Oil & Gas Services,https://media.glassdoor.com/sqll/18/airgas-squarelogo-1464014726156.png,2.9,2.7,2.3,3.1,2.7,3.0
airline tariff publishing company,Airline Tariff Publishing Company,www.atpco.net,Airlines,https://media.glassdoor.com/sqll/238827/airline-tariff-publishing-company-squarelogo.png,2.5,2.4,2.1,3.0,2.1,2.9
"ais, inc.",A.I.S.,www.aisobservers.com,Commercial Fishing,https://media.glassdoor.com/sqll/883217/a-i-s-inc-squarelogo-1412003722035.png,0,0.0,0.0,0.0,0.0,0.0
ajilon,Ajilon,www.ajilon.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/118129/ajilon-staffing-squarelogo.png,3.3,3.1,3.0,3.1,2.8,3.3
ajilon professional staffing,Ajilon,www.ajilon.com,Staffing & Outsourcing,https://media.glassdoor.com/sqll/118129/ajilon-staffing-squarelogo.png,3.3,3.1,3.0,3.1,2.8,3.3
"akamai technologies, inc.",Akamai,www.akamai.com,IT Services,https://media.glassdoor.com/sqll/9219/akamai-squarelogo-1450105432041.png,4.0,4.0,3.6,4.0,3.7,3.9
akima,Akima,www.akima.com,Aerospace & Defense,https://media.glassdoor.com/sqll/134466/akima-squarelogo-1407856794838.png,2.7,2.7,2.4,3.0,2.6,2.8
akzo nobel coatings inc.,Akzo Nobel Worldwide,www.akzonobel.com,Chemical Manufacturing,https://media.glassdoor.com/sqll/3517/akzo-nobel-worldwide-squarelogo.png,3.1,3.3,2.7,3.2,2.9,3.1
"alatec, inc.",Alatec Inc,www.alatecinc.com,IT Services,https://media.glassdoor.com/sqll/149145/alatec-inc-squarelogo-1426057180244.png,4.1,4.0,4.1,3.8,3.4,4.4
alban cat,Alban Cat,www.albancat.com,Wholesale,https://media.glassdoor.com/sqll/21142/alban-cat-squarelogo-1447999774480.png,2.3,2.9,2.0,3.4,2.9,3.2
albemarle county,Charlottesville-Albemarle Rescue Squad (Albemarle County F&R),www.carsrescue.org,Municipal Governments,,5.0,5.0,5.0,5.0,3.0,5.0
alcatel-lucent,Alcatel-Lucent,www.nokia.com,Telecommunications Services,https://media.glassdoor.com/sqll/3453/alcatel-lucent-squarelogo.png,3.5,3.5,2.9,3.2,3.0,3.8
alcoa inc.,Alcoa,www.alcoa.com,Metal & Mineral Manufacturing,https://media.glassdoor.com/sqll/29/alcoa-squarelogo.png,3.1,3.0,2.5,3.6,2.9,3.0
alderman's saw shop,"Alderman, Devorsetz & Hora",www.adhlawfirm.com,,,5.0,0.0,0.0,0.0,0.0,0.0
